timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,0.6400,0.6400,0.6400,0.6400,0.6400,194,0.0000,,
2017-11-16,0.5800,0.6400,0.5800,0.6041,0.6041,4616,0.0000,,
2017-11-15,0.5758,0.6600,0.5200,0.6300,0.6300,6240,0.0000,,
2017-11-14,0.5660,0.7700,0.5660,0.7500,0.7500,1589,0.0000,,
2017-11-13,0.8000,0.8000,0.8000,0.8000,0.8000,20,0.0000,,
2017-11-10,0.6000,0.8000,0.6000,0.8000,0.8000,900,0.0000,,
2017-11-09,0.5500,0.7999,0.5301,0.7999,0.7999,2188,0.0000,,
2017-11-08,0.4200,0.8600,0.4200,0.8600,0.8600,688,0.0000,,
2017-11-07,0.8000,0.8000,0.7998,0.7998,0.7998,601,0.0000,,
2017-11-06,0.5300,0.8600,0.5200,0.8600,0.8600,2730,0.0000,,
2017-11-03,0.7785,0.7785,0.7785,0.7785,0.7785,100,0.0000,,
2017-11-02,0.6000,0.6007,0.5989,0.5989,0.5989,3376,0.0000,,
2017-11-01,0.7400,0.7400,0.6000,0.6000,0.6000,2723,0.0000,,
2017-10-31,0.7500,0.7500,0.7500,0.7500,0.7500,4894,0.0000,,
2017-10-30,0.6500,0.8000,0.6500,0.6500,0.6500,3212,0.0000,,
2017-10-27,0.7500,0.7500,0.5100,0.7500,0.7500,1782,0.0000,,
2017-10-26,0.6274,0.8000,0.6000,0.7000,0.7000,17012,0.0000,,
2017-10-25,0.5000,0.6500,0.4999,0.6400,0.6400,18127,0.0000,,
2017-10-24,0.8500,0.8500,0.6500,0.6500,0.6500,2500,0.0000,,
2017-10-23,0.6500,0.6500,0.6500,0.6500,0.6500,300,0.0000,,
2017-10-20,0.7800,0.7800,0.7800,0.7800,0.7800,147,0.0000,,
2017-10-19,0.8000,0.8500,0.8000,0.8400,0.8400,2592,0.0000,,
2017-10-18,0.8500,0.8500,0.7000,0.7000,0.7000,700,0.0000,,
2017-10-17,0.5100,0.9400,0.5100,0.7500,0.7500,2200,0.0000,,
2017-10-16,0.6100,0.7000,0.6100,0.7000,0.7000,1100,0.0000,,
2017-10-13,0.6000,0.9500,0.5900,0.9500,0.9500,5000,0.0000,,
2017-10-12,0.7500,0.7500,0.6694,0.7400,0.7400,1991,0.0000,,
2017-10-11,0.7200,0.9000,0.6000,0.7500,0.7500,9859,0.0000,,
2017-10-10,0.9900,1.0000,0.7552,0.9153,0.9153,545,0.0000,,
2017-10-09,0.9000,0.9000,0.7000,0.9000,0.9000,2400,0.0000,,
2017-10-06,0.9900,0.9900,0.7748,0.9000,0.9000,1000,0.0000,,
2017-10-05,0.7500,0.9900,0.7500,0.8750,0.8750,17850,0.0000,,
2017-10-04,0.8400,1.0000,0.8400,0.9694,0.9694,25285,0.0000,,
2017-10-03,0.8300,0.8300,0.7199,0.8100,0.8100,22225,0.0000,,
2017-10-02,0.7500,0.7500,0.5100,0.7000,0.7000,3084,0.0000,,
2017-09-29,0.7500,0.8200,0.7500,0.7500,0.7500,2600,0.0000,,
2017-09-28,0.5900,0.7999,0.5500,0.7300,0.7300,2448,0.0000,,
2017-09-27,0.6552,0.8400,0.5241,0.5800,0.5800,50608,0.0000,,
2017-09-26,0.6195,0.6195,0.6195,0.6195,0.6195,100,0.0000,,
2017-09-25,0.6500,0.7000,0.4402,0.6890,0.6890,29999,0.0000,,
2017-09-22,0.6688,0.6688,0.6688,0.6688,0.6688,100,0.0000,,
2017-09-21,0.6000,0.6695,0.4500,0.6695,0.6695,4700,0.0000,,
2017-09-20,0.6789,0.6789,0.5000,0.6000,0.6000,1100,0.0000,,
2017-09-19,0.6890,0.6899,0.4515,0.6890,0.6890,1105,0.0000,,
2017-09-18,0.5000,0.6400,0.5000,0.6400,0.6400,200,0.0000,,
2017-09-15,0.4690,0.6695,0.4690,0.6695,0.6695,405,0.0000,,
2017-09-14,0.6300,0.6800,0.3000,0.6699,0.6699,3107,0.0000,,
2017-09-13,0.6600,0.6600,0.6600,0.6600,0.6600,100,0.0000,,
2017-09-12,0.6800,0.6800,0.6800,0.6800,0.6800,100,0.0000,,
2017-09-11,0.6450,0.6450,0.6450,0.6450,0.6450,100,0.0000,,
2017-09-08,0.6500,0.6500,0.6500,0.6500,0.6500,0,0.0000,,
2017-09-07,0.6500,0.6500,0.6500,0.6500,0.6500,45,0.0000,,
2017-09-06,0.6499,0.6500,0.5580,0.6500,0.6500,2300,0.0000,,
2017-09-05,0.6197,0.6197,0.5697,0.5700,0.5700,2278,0.0000,,
2017-09-01,0.4500,0.4500,0.4500,0.4500,0.4500,0,0.0000,,
2017-08-31,0.4500,0.4500,0.4500,0.4500,0.4500,1394,0.0000,,
2017-08-30,0.5700,0.6600,0.4500,0.4500,0.4500,10232,0.0000,,
2017-08-29,0.5400,0.5400,0.3115,0.5400,0.5400,1053,0.0000,,
