timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,,
2017-12-01,3.5900,3.7900,3.5300,3.7500,3.7500,62570,0.0000,1.0000,,
2017-11-30,3.6690,3.6790,3.6300,3.6500,3.6500,27874,0.0000,1.0000,,
2017-11-29,3.6500,3.6800,3.6300,3.6400,3.6400,20374,0.0150,1.0000,,
2017-11-28,3.6800,3.8500,3.6700,3.6700,3.6549,33748,0.0000,1.0000,,
2017-11-27,3.9300,3.9400,3.7000,3.7100,3.6948,131289,0.0000,1.0000,,
2017-11-24,3.9400,3.9500,3.8700,3.9200,3.9039,9424,0.0000,1.0000,,
2017-11-22,3.9100,3.9300,3.8700,3.8900,3.8740,10436,0.0000,1.0000,,
2017-11-21,3.9200,3.9200,3.8300,3.9100,3.8940,28837,0.0000,1.0000,,
2017-11-20,3.8800,3.8900,3.8400,3.8600,3.8442,17574,0.0000,1.0000,,
2017-11-17,3.7000,3.9000,3.7000,3.8600,3.8442,23584,0.0000,1.0000,,
2017-11-16,3.7800,3.7800,3.6500,3.7050,3.6898,110193,0.0000,1.0000,,
2017-11-15,3.8500,3.8500,3.6900,3.7900,3.7744,28544,0.0000,1.0000,,
2017-11-14,3.6500,3.8500,3.6500,3.7600,3.7446,74537,0.0000,1.0000,,
2017-11-13,3.8800,3.9219,3.6300,3.6900,3.6749,114017,0.0000,1.0000,,
2017-11-10,3.9200,3.9800,3.8800,3.8800,3.8641,18730,0.0000,1.0000,,
2017-11-09,3.9750,3.9750,3.8900,3.9200,3.9039,44985,0.0000,1.0000,,
2017-11-08,4.0500,4.2000,3.9900,3.9900,3.9736,22864,0.0000,1.0000,,
2017-11-07,4.1900,4.1900,4.0748,4.0950,4.0782,40474,0.0000,1.0000,,
2017-11-06,4.0000,4.1500,3.9253,4.1500,4.1330,104646,0.0000,1.0000,,
2017-11-03,4.0500,4.1000,3.9000,3.9900,3.9736,65035,0.0000,1.0000,,
2017-11-02,4.0100,4.0900,3.9900,4.0200,4.0035,8099,0.0000,1.0000,,
2017-11-01,4.0300,4.1000,3.9800,4.0100,3.9935,10841,0.0000,1.0000,,
2017-10-31,4.1000,4.1000,3.9610,4.0500,4.0334,48186,0.0000,1.0000,,
2017-10-30,4.0100,4.0500,3.9800,4.0392,4.0226,11410,0.0000,1.0000,,
2017-10-27,3.9500,3.9900,3.8510,3.9900,3.9736,34138,0.0000,1.0000,,
2017-10-26,3.9600,4.0000,3.8800,3.8900,3.8740,28222,0.0000,1.0000,,
2017-10-25,4.0780,4.0780,4.0000,4.0000,3.9836,12982,0.0000,1.0000,,
2017-10-24,4.1300,4.1500,4.0100,4.0300,4.0135,40329,0.0000,1.0000,,
2017-10-23,4.1500,4.2000,4.0100,4.1500,4.1330,13273,0.0000,1.0000,,
2017-10-20,4.2000,4.2650,4.1750,4.1800,4.1628,35585,0.0000,1.0000,,
2017-10-19,4.2400,4.2600,4.1390,4.2000,4.1828,4335,0.0000,1.0000,,
2017-10-18,4.0850,4.2900,4.0850,4.2900,4.2724,11418,0.0000,1.0000,,
2017-10-17,4.1700,4.2100,4.1300,4.1600,4.1429,24905,0.0000,1.0000,,
2017-10-16,4.2300,4.2500,4.1000,4.1000,4.0832,81363,0.0000,1.0000,,
2017-10-13,4.1300,4.3500,4.1300,4.3292,4.3114,39786,0.0000,1.0000,,
2017-10-12,4.1200,4.2000,4.0900,4.1500,4.1330,26626,0.0000,1.0000,,
2017-10-11,4.0500,4.1500,4.0500,4.1200,4.1031,27300,0.0000,1.0000,,
2017-10-10,4.0600,4.1100,4.0400,4.0800,4.0633,48007,0.0000,1.0000,,
2017-10-09,4.1100,4.2500,4.0900,4.0900,4.0732,18139,0.0000,1.0000,,
2017-10-06,4.0000,4.2000,4.0000,4.1400,4.1230,41219,0.0000,1.0000,,
2017-10-05,3.9000,4.0300,3.9000,3.9700,3.9537,51770,0.0000,1.0000,,
2017-10-04,3.8900,3.9600,3.8800,3.8800,3.8641,172195,0.0000,1.0000,,
2017-10-03,3.9600,3.9600,3.8000,3.8400,3.8242,138902,0.0000,1.0000,,
2017-10-02,3.8150,3.9400,3.7500,3.9000,3.8840,25166,0.0000,1.0000,,
2017-09-29,3.9392,3.9600,3.8100,3.8300,3.8143,32794,0.0000,1.0000,,
2017-09-28,3.9200,3.9800,3.8900,3.9400,3.9238,23303,0.0000,1.0000,,
2017-09-27,3.9400,3.9800,3.7600,3.8900,3.8740,19250,0.0000,1.0000,,
2017-09-26,3.7900,3.9600,3.7800,3.8600,3.8442,34746,0.0000,1.0000,,
2017-09-25,3.9000,3.9100,3.7600,3.8300,3.8143,44579,0.0000,1.0000,,
2017-09-22,3.9200,4.0200,3.7800,3.8900,3.8740,25366,0.0000,1.0000,,
2017-09-21,3.8400,3.8450,3.7500,3.7900,3.7744,12083,0.0000,1.0000,,
2017-09-20,3.8600,3.9500,3.6500,3.7900,3.7744,46362,0.0000,1.0000,,
2017-09-19,4.0000,4.0180,3.8180,3.8900,3.8740,43833,0.0000,1.0000,,
2017-09-18,4.0000,4.0500,3.9202,3.9700,3.9537,101088,0.0000,1.0000,,
